FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y
0.0000,4.0000,1170.1078,1357.6596,464.8478,1294.8074,1449.9527,364.9685,1801.8500,353.4287,NaN,NaN,NaN,NaN
1.0000,4.0000,1169.1136,1450.3115,460.9271,1383.5762,1448.2744,457.5046,1800.8127,443.9591,NaN,NaN,NaN,NaN
2.0000,4.0000,1167.9768,1542.4611,457.1589,1471.9586,1446.5353,549.9180,1799.7888,534.1384,NaN,NaN,NaN,NaN
3.0000,4.0000,1166.5466,1634.1417,453.2440,1560.2176,1444.7059,642.5455,1798.7849,624.6292,NaN,NaN,NaN,NaN
4.0000,3.0000,449.6380,1648.1024,1442.8833,734.9197,1797.7475,715.0892,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,2.0000,1441.3165,827.0689,1796.8020,805.0547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,2.0000,1439.4438,919.9360,1795.5547,895.5431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,3.0000,1437.6906,1012.0527,1794.1478,985.4720,841.5443,97.1726,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,3.0000,1435.9193,1104.5986,1792.8582,1075.3476,839.1188,189.2661,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,3.0000,1434.2077,1196.2440,1791.5812,1164.7222,837.0929,281.1370,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,3.0000,1432.3342,1288.4916,1790.1363,1254.6467,835.0357,373.9715,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,3.0000,1430.5699,1379.6701,1788.7817,1343.4796,833.0097,465.7524,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,3.0000,1428.6670,1471.4187,1787.2783,1433.2559,830.7831,558.0790,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,3.0000,1426.9524,1562.0263,1785.6987,1521.6220,828.9413,649.7328,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,3.0000,1425.0336,1653.9315,1783.8868,1611.2005,826.6925,742.6420,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,1.0000,824.7473,834.1242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,1.0000,822.6127,926.8269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,1.0000,820.6043,1018.5967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,1.0000,818.6155,1111.2342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,1.0000,816.6896,1202.2897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,1.0000,815.1787,1294.0951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,1.0000,813.5259,1384.4282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,1.0000,811.8908,1475.7300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,1.0000,810.3038,1565.7461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,1.0000,808.9106,1655.9341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,1.0000,1808.1862,47.3339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,1.0000,1804.7522,138.7277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,1.0000,1801.1341,230.3840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,1.0000,1797.4723,322.2917,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,1.0000,1793.7958,414.4133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,1.0000,1790.2415,506.2179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,1.0000,1786.4864,597.6409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,2.0000,1782.8564,689.1495,1531.7092,53.4020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,2.0000,1779.0356,780.6446,1531.4065,145.8173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,2.0000,1775.2334,872.0613,1530.6440,238.0352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,2.0000,1771.6870,963.3612,1530.1380,329.9305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,2.0000,1767.4787,1055.3444,1529.4028,422.2799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,2.0000,1763.5808,1146.3132,1528.8479,513.6109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,2.0000,1759.6155,1237.6014,1528.2440,606.3811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,3.0000,1755.7393,1327.9145,1527.4230,698.0958,731.2455,68.2630,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,3.0000,1751.6558,1419.4117,1527.1401,791.3353,731.3589,161.9310,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,4.0000,1747.6132,1509.8698,1526.8908,882.6129,731.5628,254.0965,899.3621,37.3460,NaN,NaN,NaN,NaN
43.0000,4.0000,1743.4080,1600.4538,1525.9978,974.7766,731.6359,346.9624,898.0170,130.4109,NaN,NaN,NaN,NaN
44.0000,3.0000,1524.6351,1065.9135,731.8101,439.3045,896.8288,222.3958,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,3.0000,1523.2128,1158.6249,731.6703,532.7928,895.2313,315.4343,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,3.0000,1521.8520,1249.1976,731.8774,624.7085,893.6199,407.1015,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,3.0000,1520.5629,1341.3147,732.3213,717.5263,892.1079,500.3228,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,3.0000,1519.2724,1432.1255,732.6723,809.6628,890.6012,592.4951,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,3.0000,1518.0194,1524.4830,733.2650,902.7954,888.9180,685.4889,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,3.0000,1517.1543,1615.0623,734.0763,994.6163,887.6029,777.5263,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,3.0000,735.1071,1087.1688,886.4764,870.0455,1510.9500,95.0366,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,3.0000,736.3391,1178.3779,885.0639,961.9364,1506.1933,185.7804,NaN,NaN,NaN,NaN,NaN,NaN
