FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
0.0000,2.0000,550.4464,1288.5819,1639.3006,416.3399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,2.0000,552.4338,1380.3299,1639.2752,508.0046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,3.0000,554.3586,1472.0718,1639.3071,600.7454,897.4925,102.5113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,3.0000,556.8427,1562.8663,1639.2092,692.4893,897.2784,194.6407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,3.0000,558.8944,1654.1390,1639.1533,785.4741,896.6169,287.6818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,2.0000,1639.0550,877.0659,896.1718,379.5285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,3.0000,1639.0403,969.4861,896.0752,472.2163,1024.5161,69.2208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,4.0000,1638.9771,1061.2891,895.7819,564.9112,1022.7223,161.6517,1164.0538,44.8715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,4.0000,1638.5685,1153.3434,895.4435,657.9513,1021.1560,254.0478,1165.7117,138.0972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,4.0000,1637.9799,1245.0269,895.1113,750.6231,1019.4174,346.1432,1167.2193,231.2240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,4.0000,1637.5933,1336.4547,895.2245,843.0886,1017.8404,437.7448,1169.0477,324.4034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,1637.1458,1427.7824,895.0319,935.6332,1016.1079,530.1171,1170.7239,418.1430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,4.0000,1636.6832,1518.5479,894.5815,1027.7034,1014.5278,622.2183,1172.0761,511.5328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,4.0000,1635.7540,1609.5459,894.4310,1119.9830,1012.7155,714.3966,1173.6930,605.1179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,3.0000,894.5146,1211.5500,1011.2490,806.0722,1175.4359,698.1185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,4.0000,894.4235,1303.8240,1009.6259,898.6276,1177.2068,791.9128,1137.6056,68.4480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,4.0000,894.3400,1395.2034,1007.7220,990.1418,1178.8393,884.8478,1137.0018,160.0864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,4.0000,894.1739,1486.9167,1006.1507,1081.7640,1180.4403,978.3287,1136.3990,252.8508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,5.0000,893.9534,1577.4652,1004.6059,1172.3900,1182.2795,1070.8896,1135.8326,344.5005,745.5325,105.8354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,4.0000,1002.8311,1264.0268,1184.0651,1164.3689,1135.3978,437.3526,746.4384,199.4990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,5.0000,1001.1351,1354.8399,1186.0436,1256.7379,1134.8041,529.3368,747.5492,292.0746,1651.4051,54.3238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,5.0000,999.1900,1446.7359,1187.7812,1349.8389,1134.2032,622.2756,748.4406,385.7434,1652.5671,148.2422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,5.0000,997.4741,1537.2938,1189.6636,1441.4962,1133.6544,714.0514,749.3677,478.2627,1653.1690,241.0607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,5.0000,995.6515,1628.6919,1191.4283,1534.0639,1133.0288,806.7662,750.0057,572.1144,1653.8469,335.5606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,4.0000,1192.7761,1625.1747,1132.3688,898.2438,750.9046,664.6412,1654.7595,428.1466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,3.0000,1131.7524,990.7463,751.7219,758.2878,1655.5038,521.9928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,3.0000,1131.3819,1081.7957,752.5887,850.8263,1656.2481,614.5487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,3.0000,1130.7188,1174.1578,753.6965,944.5410,1656.9176,708.6787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
