FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
0.0000,3.0000,1575.9292,1479.1622,1465.9282,1344.6170,994.8741,111.3094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,4.0000,1573.8085,1570.0868,1464.7177,1435.7820,994.9868,202.6037,950.0185,61.3100,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,4.0000,1571.3390,1661.7589,1463.3972,1526.3964,994.9020,294.5248,949.7772,153.7861,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,4.0000,1461.7071,1616.2611,994.9306,386.0108,949.5142,246.2166,1616.0182,74.7260,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,3.0000,995.2084,477.7120,949.6118,338.5341,1609.0637,164.2117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,3.0000,995.5360,569.0833,949.8113,430.3500,1601.9809,253.5179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,3.0000,995.8057,661.4945,949.7905,523.2951,1594.3057,344.0102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,4.0000,996.3206,752.7140,949.9286,615.0683,1586.9982,433.2354,1343.4227,135.8736,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,4.0000,996.6704,844.2905,950.1165,707.4239,1579.9407,522.8592,1343.9444,226.7397,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,4.0000,997.0437,935.3796,950.4103,799.2698,1572.8250,611.7680,1344.4998,317.2791,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,4.0000,997.3170,1027.5765,950.7842,892.3163,1565.7807,701.8966,1345.0292,409.4478,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,997.4162,1118.3780,951.1499,983.9162,1558.6215,790.8060,1345.6553,500.3286,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,4.0000,997.6909,1210.0599,951.3995,1076.1735,1551.1984,880.8551,1346.1613,592.0202,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,5.0000,998.2147,1300.3297,951.6248,1167.3477,1543.6776,969.8344,1346.6041,682.7600,1289.8211,118.6778,NaN,NaN,NaN,NaN
14.0000,5.0000,998.5137,1391.9399,951.8282,1259.8636,1536.3040,1059.9688,1346.9509,774.8112,1289.5918,212.4466,NaN,NaN,NaN,NaN
15.0000,5.0000,998.8936,1482.0266,951.9350,1350.5718,1529.0057,1148.3902,1347.2883,865.4502,1289.5294,304.9988,NaN,NaN,NaN,NaN
16.0000,5.0000,999.3026,1573.0820,952.0627,1442.2163,1521.7228,1237.8808,1347.5882,957.2023,1289.2209,398.6436,NaN,NaN,NaN,NaN
17.0000,5.0000,999.5848,1662.4222,952.1457,1532.8576,1514.2529,1325.9465,1347.9618,1047.2136,1288.8800,491.3591,NaN,NaN,NaN,NaN
18.0000,4.0000,952.3069,1624.5388,1506.9968,1415.5692,1348.2094,1138.6147,1288.2218,584.9522,NaN,NaN,NaN,NaN,NaN,NaN
