FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y
0.0000,5.0000,1511.4582,1538.2715,1549.3738,1164.7473,1493.7346,903.7539,1315.7633,295.1324,887.5348,120.8338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,6.0000,1511.8857,1629.4961,1550.6897,1251.7816,1493.3655,996.3745,1317.4859,387.1871,890.0457,211.3156,417.4535,86.1027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,5.0000,1551.8533,1339.4243,1492.9757,1089.2853,1319.2806,479.4277,892.9027,302.6676,415.1411,178.0271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,5.0000,1552.9589,1426.1875,1492.4998,1181.4243,1321.0924,571.3132,895.7633,393.2222,413.0571,269.6702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,5.0000,1553.8467,1514.3502,1491.9568,1274.6675,1322.8682,664.1896,898.5252,484.7991,410.6409,362.3363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,5.0000,1554.7976,1601.4080,1491.4985,1366.4330,1324.6763,755.4850,901.5792,574.9251,408.2689,453.3708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,5.0000,1490.7272,1458.9115,1326.3704,847.7751,904.7285,666.0743,406.3169,545.1141,899.4311,60.6129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,5.0000,1490.2030,1550.0931,1328.2148,938.9890,907.9239,756.2117,404.1402,636.0239,899.7053,150.8157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,5.0000,1489.8096,1642.3536,1329.8107,1031.0330,911.0644,847.3740,401.8400,727.8461,900.2863,242.3767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,4.0000,1331.5743,1121.8400,913.9386,936.9054,399.9910,818.1642,901.0338,332.6119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,4.0000,1333.2347,1213.5399,916.7231,1027.6479,398.0990,909.7233,901.4311,423.3931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,1334.9199,1303.9576,919.4929,1117.3906,396.4396,1000.1836,902.0754,513.9041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,4.0000,1336.9248,1395.5251,922.1432,1208.2590,394.6970,1091.7289,902.5627,605.5425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,4.0000,1338.9519,1485.8260,924.8214,1298.0266,392.9731,1182.3912,903.1270,696.5662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,4.0000,1340.8877,1576.5649,927.6870,1388.0479,391.5111,1273.2795,903.5305,787.9015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,3.0000,930.5936,1477.5869,390.0980,1363.6666,903.9962,879.1334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,3.0000,933.4332,1567.2415,388.7594,1454.1297,904.3145,970.7087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,3.0000,936.3820,1655.9047,387.2166,1543.6541,904.7562,1060.8204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,2.0000,386.2405,1633.6201,905.2770,1151.2256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,1.0000,905.7511,1241.2512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,1.0000,906.0520,1331.5738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,1.0000,906.3151,1421.4153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,1.0000,906.8915,1511.0807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,1.0000,907.0724,1600.6383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,1.0000,1023.9978,49.6763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,1.0000,1025.6867,144.1783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,1.0000,1027.4384,237.9508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,1.0000,1029.2609,332.5108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,1.0000,1030.8364,426.2451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,1.0000,1032.4288,521.2731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,2.0000,1034.1104,614.9008,1217.4398,98.1125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,2.0000,1035.8446,709.5075,1217.1041,190.5724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,2.0000,1037.5261,802.7197,1216.9236,282.1813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,2.0000,1039.1629,897.2005,1216.5481,375.0035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,2.0000,1040.8013,990.1414,1216.4220,466.6354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,3.0000,1042.4500,1083.9361,1216.3176,559.2904,1225.5511,86.7282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,4.0000,1044.2456,1176.6056,1216.1338,651.0079,1229.2488,179.0426,1487.5217,112.2916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,4.0000,1046.0009,1270.4634,1215.6454,743.7820,1232.9190,272.6132,1487.7256,204.8863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,4.0000,1047.6070,1363.3122,1215.3022,835.2058,1236.3103,364.8881,1488.0862,296.3583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,4.0000,1049.5223,1456.2049,1215.0158,926.8974,1240.0143,457.6627,1488.4722,388.4125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,4.0000,1051.2122,1548.7463,1214.7385,1018.4594,1243.4326,550.7008,1488.6919,480.2938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,4.0000,1052.9285,1641.8443,1214.1866,1110.1876,1247.2024,644.1533,1488.6532,572.8418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,3.0000,1213.7379,1201.2494,1250.9976,736.8003,1488.8216,664.2638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,3.0000,1213.2927,1292.2332,1254.7584,829.3323,1489.1119,755.9045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,3.0000,1212.7410,1383.0130,1258.3882,921.9858,1489.2597,847.5009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,4.0000,1212.5275,1473.4010,1262.2121,1014.2186,1489.5989,939.2668,707.7525,115.8469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,5.0000,1211.9670,1563.5802,1265.9768,1106.6585,1489.8833,1030.6227,707.3597,208.6389,1339.6738,63.8915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
