FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y
0.0000,8.0000,1713.3166,1590.4704,1021.0315,1397.9081,695.2939,1362.7115,896.1341,1086.8906,1293.8427,754.5983,876.8177,605.7687,1387.4365,343.5158,1205.3740,157.7112
1.0000,7.0000,1021.9728,1489.2544,694.6311,1454.3296,894.5260,1179.6353,1294.6226,845.8019,878.2309,697.6220,1391.5969,435.1915,1202.3518,247.8251,NaN,NaN
2.0000,8.0000,1022.5187,1580.5155,694.0562,1546.3275,892.8139,1272.6735,1295.4717,937.3685,879.4762,790.0887,1395.4467,527.0891,1199.3949,338.4624,645.8446,116.9192
3.0000,7.0000,693.5094,1637.4099,891.4116,1364.7080,1296.2163,1028.5946,880.8856,882.0515,1399.3964,618.0602,1196.3208,428.7253,646.1386,208.0631,NaN,NaN
4.0000,6.0000,889.9820,1457.4479,1297.0044,1119.9027,882.2290,974.3330,1403.4276,710.0160,1193.2094,519.3790,646.4512,299.3746,NaN,NaN,NaN,NaN
5.0000,6.0000,888.6480,1549.1717,1297.9123,1210.5375,883.8081,1065.6489,1407.6369,800.8943,1190.1266,609.3399,646.5458,390.0380,NaN,NaN,NaN,NaN
6.0000,6.0000,887.6805,1641.1962,1298.7082,1301.8929,885.2145,1157.5345,1411.7981,892.3892,1186.8977,699.7941,646.3026,481.7029,NaN,NaN,NaN,NaN
7.0000,5.0000,1299.5262,1391.3131,886.8472,1248.3952,1416.1404,982.9234,1183.8636,789.3695,646.3612,572.3243,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,5.0000,1300.1711,1481.2305,888.2333,1339.7830,1420.4021,1073.7518,1180.8982,879.4140,646.6537,663.4833,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,5.0000,1301.0690,1570.0187,889.6603,1430.0452,1424.8456,1164.0778,1178.0831,968.6459,646.7320,754.1592,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,5.0000,1301.6636,1659.9298,891.2189,1521.1650,1429.2769,1255.0730,1175.3018,1058.6927,646.7854,846.0201,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,892.7940,1610.9895,1433.7737,1344.8581,1172.2822,1147.3689,646.9626,936.4695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,3.0000,1438.1213,1435.4083,1169.5296,1237.0422,647.0714,1027.7217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,3.0000,1442.6237,1525.2313,1166.6438,1325.8855,647.2548,1118.2767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,3.0000,1446.9081,1616.2311,1163.9342,1415.9276,647.3357,1209.6087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,2.0000,1161.0823,1504.5170,647.5455,1299.5844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,2.0000,1158.2555,1593.5900,647.8560,1390.3193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,1.0000,648.4094,1480.1070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
