FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
0.0000,6.0000,1535.8492,1610.3484,980.2741,1607.5404,884.9047,1331.5079,1313.6963,1006.4854,694.9645,933.4724,1512.7284,532.8483,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,4.0000,887.4438,1421.4457,1312.2233,1099.9815,693.0500,1023.5633,1512.2537,624.3389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,4.0000,890.0080,1511.5701,1310.6990,1193.7220,690.9691,1113.5756,1511.2877,716.0455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,4.0000,892.6391,1601.2466,1309.1776,1286.5719,688.9493,1203.3770,1510.4481,807.2705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,3.0000,1307.6309,1379.6088,687.1433,1292.9878,1509.5644,898.7668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,3.0000,1306.4392,1472.0410,685.3890,1381.9293,1508.6614,989.5872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,3.0000,1305.0728,1564.8880,683.2768,1471.3986,1507.3830,1080.8902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,3.0000,1303.5464,1656.7691,681.3691,1559.7004,1506.3485,1171.4680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,2.0000,679.5833,1648.4003,1505.0524,1262.7611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,1.0000,1503.8990,1352.6316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,1.0000,1502.4784,1443.9086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,1.0000,1501.2045,1533.9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
