TrackID_1_X,TrackID_1_Y,TrackID_2_X,TrackID_2_Y,TrackID_3_X,TrackID_3_Y,TrackID_4_X,TrackID_4_Y,TrackID_5_X,TrackID_5_Y,TrackID_6_X,TrackID_6_Y,TrackID_7_X,TrackID_7_Y,TrackID_8_X,TrackID_8_Y,TrackID_9_X,TrackID_9_Y,TrackID_10_X,TrackID_10_Y,TrackID_11_X,TrackID_11_Y,TrackID_12_X,TrackID_12_Y,TrackID_13_X,TrackID_13_Y,TrackID_14_X,TrackID_14_Y,TrackID_15_X,TrackID_15_Y,TrackID_16_X,TrackID_16_Y,TrackID_17_X,TrackID_17_Y,TrackID_18_X,TrackID_18_Y,TrackID_19_X,TrackID_19_Y,TrackID_20_X,TrackID_20_Y,TrackID_21_X,TrackID_21_Y,TrackID_22_X,TrackID_22_Y,TrackID_23_X,TrackID_23_Y,TrackID_24_X,TrackID_24_Y,TrackID_25_X,TrackID_25_Y,TrackID_26_X,TrackID_26_Y,TrackID_27_X,TrackID_27_Y,TrackID_28_X,TrackID_28_Y,TrackID_29_X,TrackID_29_Y,TrackID_30_X,TrackID_30_Y,TrackID_31_X,TrackID_31_Y,TrackID_32_X,TrackID_32_Y,TrackID_33_X,TrackID_33_Y,TrackID_34_X,TrackID_34_Y,TrackID_35_X,TrackID_35_Y,TrackID_36_X,TrackID_36_Y,TrackID_37_X,TrackID_37_Y,TrackID_38_X,TrackID_38_Y,TrackID_39_X,TrackID_39_Y,TrackID_40_X,TrackID_40_Y,TrackID_41_X,TrackID_41_Y,TrackID_42_X,TrackID_42_Y,TrackID_43_X,TrackID_43_Y,TrackID_44_X,TrackID_44_Y,TrackID_45_X,TrackID_45_Y,TrackID_46_X,TrackID_46_Y,TrackID_47_X,TrackID_47_Y,TrackID_48_X,TrackID_48_Y,TrackID_49_X,TrackID_49_Y,TrackID_50_X,TrackID_50_Y,TrackID_51_X,TrackID_51_Y,TrackID_52_X,TrackID_52_Y,TrackID_53_X,TrackID_53_Y,TrackID_54_X,TrackID_54_Y,TrackID_55_X,TrackID_55_Y,TrackID_56_X,TrackID_56_Y,TrackID_57_X,TrackID_57_Y,TrackID_58_X,TrackID_58_Y,TrackID_59_X,TrackID_59_Y,TrackID_60_X,TrackID_60_Y,TrackID_61_X,TrackID_61_Y,TrackID_62_X,TrackID_62_Y,TrackID_63_X,TrackID_63_Y,TrackID_64_X,TrackID_64_Y,TrackID_65_X,TrackID_65_Y,TrackID_66_X,TrackID_66_Y,TrackID_67_X,TrackID_67_Y,TrackID_68_X,TrackID_68_Y,TrackID_69_X,TrackID_69_Y,TrackID_70_X,TrackID_70_Y,TrackID_71_X,TrackID_71_Y,TrackID_72_X,TrackID_72_Y,TrackID_73_X,TrackID_73_Y,TrackID_74_X,TrackID_74_Y,TrackID_75_X,TrackID_75_Y,TrackID_76_X,TrackID_76_Y,TrackID_77_X,TrackID_77_Y,TrackID_78_X,TrackID_78_Y,TrackID_79_X,TrackID_79_Y,TrackID_80_X,TrackID_80_Y,TrackID_81_X,TrackID_81_Y,TrackID_82_X,TrackID_82_Y,TrackID_83_X,TrackID_83_Y,TrackID_84_X,TrackID_84_Y,TrackID_85_X,TrackID_85_Y,TrackID_86_X,TrackID_86_Y,TrackID_87_X,TrackID_87_Y,TrackID_88_X,TrackID_88_Y,TrackID_89_X,TrackID_89_Y
1058.028,90.243,828.1987,97.6771,608.5996,109.8929,1341.387,86.6396,1086.7446,101.8424,1463.1913,106.581,1104.4182,109.727,1047.588,91.7689,1185.3288,121.7929,1315.776,80.9257,1050.3132,45.0707,1279.2645,96.8699,1341.6899,71.3346,805.8844,98.0727,1563.9942,104.1642,1080.4044,122.2033,1638.7296,119.5859,982.0265,108.9472,1522.9848,44.9541,1266.3057,97.3719,1401.6967,105.9961,1442.6568,42.2319,1084.8309,87.1272,1027.2189,53.1334,984.569,107.2221,879.0565,114.0084,1548.9337,99.044,1198.8295,54.1116,1806.8104,35.6464,1390.4325,47.4234,898.3838,43.0576,1208.5142,78.7317,1353.7226,36.666,1634.4302,58.7116,1224.7082,37.6289,1575.8684,64.4549,1047.7094,109.4714,1202.5015,115.6998,1609.6095,57.6525,1361.6849,81.4616,1034.5276,103.7679,1409.1096,90.1447,1166.7774,117.1285,920.8372,85.2036,1536.9642,83.3951,1724.0934,61.8156,1532.363,42.8617,1516.6368,115.9778,1065.7048,117.3628,1684.4297,88.9083,1194.2901,77.947,1268.4737,75.4889,1665.956,36.9918,1049.8495,87.1171,1183.0473,45.489,1180.4955,68.1918,1374.7134,39.4765,1105.3224,95.8268,1368.5334,99.3514,1123.0459,87.069,1511.647,52.1256,1189.5661,45.8269,1645.8204,120.0983,1341.7016,62.6601,1540.259,57.2353,1728.9967,84.822,1554.9151,38.1986,1576.1166,40.1258,1683.7284,111.5893,902.2805,105.9062,1063.7831,87.2994,1301.4151,69.4914,1537.1824,71.487,1194.9979,100.2092,1526.3663,115.7085,1235.9204,59.2092,1389.5014,73.7642,1177.4194,101.7339,1281.0619,72.5768,1347.2447,98.8834,1398.373,55.6067,1397.5351,47.6629,956.857,109.9122,1440.3242,106.8849,1538.6977,97.4193,1444.8695,76.7198,1420.6246,115.9949,1033.9656,107.9802,949.4864,49.701
1059.0848,182.4656,821.6658,187.784,602.0784,199.5781,1342.6235,179.0422,1086.8498,194.9799,1463.3942,196.3839,1098.8307,200.4922,1042.5901,183.4485,1185.7456,213.6564,1313.5148,171.4068,1049.7197,136.8582,1276.3726,190.6959,1340.8371,162.1038,806.6929,188.7449,1565.8958,196.5149,1083.1982,213.9036,1638.5623,213.0422,981.6303,201.8261,1522.4831,136.2483,1266.9042,191.1694,1402.032,200.3823,1445.112,134.5489,1086.2599,178.348,1028.6639,146.5713,982.4378,200.3141,877.8673,206.3691,1545.6743,189.3756,1198.2089,145.3148,1808.42,126.5342,1389.4523,139.2205,897.9385,137.3272,1210.0016,171.6013,1351.9347,127.253,1635.8932,152.1062,1221.3255,130.3577,1579.4381,156.9424,1042.7645,197.0838,1201.7158,208.1492,1605.6338,146.7801,1358.8564,173.6402,1031.9406,195.1681,1408.3469,181.6756,1163.8341,208.7437,920.3462,175.3436,1534.875,175.5396,1724.8605,153.8089,1533.5558,134.1618,1518.7075,207.4612,1063.2605,210.3652,1682.0808,180.2019,1196.1665,169.7324,1264.6529,166.0581,1665.9357,130.5906,1047.2983,179.3883,1184.7484,137.1833,1177.1883,159.7732,1378.1445,131.6988,1105.4937,186.5166,1370.0424,189.6061,1121.4129,179.1453,1513.0381,143.9238,1188.2799,137.9647,1645.6443,212.4825,1341.3352,155.8642,1541.044,148.4055,1726.265,177.4366,1556.1577,131.8439,1574.9498,133.5165,1684.7665,203.187,896.9567,200.4421,1061.963,178.3362,1299.3038,159.0946,1537.5785,161.638,1198.2161,191.0925,1527.1014,206.0414,1236.5587,152.4724,1390.8498,164.6019,1173.6443,193.7148,1277.1397,164.955,1348.7355,192.0245,1397.2055,147.3658,1400.2748,140.4014,954.1584,201.8782,1440.5343,199.2359,1539.5646,189.5589,1447.4322,167.5815,1421.9531,206.228,1032.0153,199.7795,949.2509,141.2911
1059.725,273.37,814.9886,278.7813,595.6928,288.7764,1344.0934,270.6121,1086.7834,288.2069,1463.3795,286.465,1093.2094,292.7339,1037.6695,275.6845,1186.0531,304.518,1311.0579,263.3673,1048.9381,229.0881,1273.4132,282.751,1340.1324,251.8964,808.9873,280.1682,1567.9162,288.7131,1085.7142,306.5119,1638.2904,306.534,981.163,293.6943,1521.6819,229.0534,1268.3744,283.988,1402.5623,293.6851,1447.2461,227.4462,1087.4736,270.0236,1030.204,239.3081,980.4308,294.1433,877.0048,298.1778,1542.4982,279.1027,1197.7253,238.1027,1809.9418,218.4756,1388.3277,231.8945,897.882,230.5737,1211.5388,264.3046,1350.36,217.0915,1637.429,245.5751,1217.7848,222.1153,1583.0955,249.2936,1038.0106,283.826,1201.1144,300.4951,1601.7015,235.2988,1356.0348,265.1372,1029.5261,287.7992,1407.8441,274.8935,1160.6168,299.8847,920.0868,266.5428,1532.9069,267.0176,1725.2921,245.2206,1534.5958,226.7038,1520.7814,297.7143,1061.0987,302.3404,1679.7838,271.9124,1197.9956,261.0481,1260.8197,257.9175,1665.9436,223.4275,1044.9239,271.8523,1186.4212,228.653,1174.237,252.5145,1381.7799,222.7697,1105.6716,278.619,1371.5759,280.97,1119.6966,270.4026,1513.9198,235.7983,1187.0715,230.4641,1645.751,304.0555,1341.0752,249.6756,1541.9343,239.4323,1723.4036,270.3595,1557.3545,224.7222,1575.0064,224.5071,1685.8853,294.8471,890.9581,295.7526,1059.9136,270.1566,1297.332,247.795,1537.7021,251.6056,1201.7231,281.9081,1528.2241,296.5935,1236.9665,245.0786,1392.0814,256.9004,1169.65,286.587,1273.6207,256.462,1350.0812,284.2228,1396.2712,240.0734,1403.2463,232.7292,951.6449,293.8521,1440.8167,291.9892,1540.6876,280.1548,1449.9913,257.0229,1423.2275,296.0492,1028.9371,291.3754,948.9136,234.4207
1060.8341,365.0018,808.4089,368.7698,589.294,378.8093,1345.6113,362.4681,1087.048,381.4806,1463.6656,375.948,1087.5225,383.7183,1032.7242,367.8838,1186.2436,396.4463,1308.5716,354.1364,1048.3074,321.3892,1270.5814,376.0737,1338.9891,343.0919,811.384,372.4251,1570.1139,382.3967,1088.4284,398.0747,1637.9261,400.5218,980.7381,386.8567,1521.1593,320.6363,1269.324,377.4174,1402.9396,387.6715,1449.6333,320.1136,1088.6319,361.308,1031.9075,332.9581,978.4523,386.9797,875.9904,390.0229,1539.1014,369.2183,1197.2926,329.7617,1811.2687,309.7051,1387.1386,324.1021,897.602,324.6938,1212.7713,357.7339,1348.5528,307.3117,1639.2813,338.9762,1214.227,314.6086,1586.7382,341.7273,1033.2039,371.8803,1200.4269,393.5842,1597.8208,324.6921,1353.0098,357.7495,1027.1668,379.4731,1406.8922,366.493,1157.2351,392.0304,919.7393,356.7917,1531.0274,359.2919,1725.7534,338.0063,1535.7568,318.4029,1522.987,389.6,1058.8014,395.5023,1677.5525,363.6106,1199.9851,352.5156,1256.8159,348.6688,1665.6957,317.0193,1042.5118,363.7733,1188.074,320.7544,1171.2203,344.282,1385.2522,315.1437,1105.9698,369.5141,1373.2361,371.8294,1117.8015,362.7471,1514.9872,327.7066,1185.4641,323.4046,1645.5597,397.2338,1340.8664,343.2086,1542.4523,331.4873,1720.7011,362.3226,1558.5419,318.6002,1575.4799,318.4717,1686.8445,386.3635,885.3645,389.9144,1057.7291,361.6527,1295.4745,337.2848,1538.056,341.8575,1205.0334,373.0816,1529.1876,387.0705,1237.6045,338.0867,1393.2538,348.4023,1165.8699,378.2771,1269.9769,348.5806,1351.1865,377.7979,1395.1907,331.9682,1406.2456,325.686,948.946,386.2253,1441.2236,384.2187,1541.8731,372.5427,1452.4028,348.3721,1424.5018,386.1298,1027.6292,384.9293,948.7113,326.6293
1061.5083,455.5594,801.9988,459.4205,583.082,468.3925,1346.9029,454.5287,1087.199,475.565,1464.1222,465.635,1081.7744,475.5425,1028.0665,459.7368,1186.388,487.6242,1306.5428,445.3846,1047.9417,413.6467,1267.653,469.1497,1338.0739,433.4561,812.8924,463.6996,1572.0877,475.0975,1090.9902,490.258,1637.5518,494.0964,980.171,479.516,1520.5082,412.9303,1269.8257,469.9619,1402.976,481.3602,1451.9427,413.5301,1089.8558,453.6642,1033.6494,426.0392,976.4908,480.3112,875.41,482.2686,1535.6642,458.8067,1196.8394,421.6604,1812.8273,401.6393,1385.8291,417.2619,897.7402,418.2505,1214.3556,449.7285,1347.1583,397.7807,1640.8045,432.4323,1210.8469,406.4492,1590.8027,434.1165,1028.345,458.441,1199.7316,486.3245,1593.57,413.0968,1350.1358,449.1016,1024.6988,472.1977,1406.4705,458.9588,1153.9117,483.7666,919.428,447.9079,1528.7977,450.2971,1726.1459,429.6493,1536.9432,411.4825,1524.9746,480.3534,1056.8138,487.6611,1675.1649,455.5221,1201.7477,444.1888,1252.9065,440.2692,1665.3172,409.6439,1039.9815,456.9587,1189.622,412.4893,1168.1698,437.0188,1388.7737,406.5274,1106.4439,461.2836,1374.8873,463.5762,1116.185,454.1529,1516.3894,419.2686,1184.0014,415.6088,1645.3228,489.1785,1340.6567,437.1466,1543.2226,422.6288,1718.0084,455.2633,1559.7569,411.1161,1576.341,408.3294,1688.1226,478.0665,879.9704,484.3241,1055.7438,453.4196,1293.5131,426.1853,1538.6722,432.2034,1208.2271,464.9425,1530.2782,477.5704,1238.1606,430.77,1394.2624,440.9957,1162.1,470.519,1266.5782,439.6764,1352.3115,470.3645,1394.0042,424.8312,1409.2348,419.0861,945.7896,479.5322,1441.3796,477.1567,1542.9882,463.6643,1454.8923,438.0158,1425.7211,475.9202,1026.3272,477.3018,948.4783,420.1489
1062.0987,546.9035,795.3664,549.2977,577.2668,558.0633,1348.287,546.858,1087.2926,568.5549,1464.4208,554.8726,1076.3297,566.345,1023.3909,552.1868,1186.4031,579.9657,1304.4948,536.027,1047.1371,506.3093,1264.8442,563.1529,1336.9827,524.7267,815.2745,555.5306,1574.0726,568.4491,1093.6189,581.674,1637.3044,587.7489,979.7938,572.5378,1519.9487,504.3781,1270.2639,563.5731,1402.7942,575.8698,1454.1377,506.5423,1091.0989,545.4356,1035.3035,519.8371,974.5552,573.3451,874.7113,574.4328,1532.2388,549.1366,1196.4497,513.423,1814.284,492.7243,1384.3692,509.7145,897.5678,512.82,1215.9466,542.8772,1345.2428,487.8705,1642.4855,525.3647,1207.3328,499.0802,1594.6128,526.6613,1023.7279,545.4819,1199.1785,579.7012,1589.4097,503.0457,1347.1933,541.8338,1022.4712,563.9495,1405.7639,551.1446,1150.5139,575.4812,919.0296,538.6243,1526.7202,542.5733,1726.468,522.4502,1538.0801,503.3263,1526.9499,572.3752,1054.9556,580.8517,1672.7716,546.7872,1203.3686,535.8712,1249.045,531.2047,1664.8169,503.444,1037.3075,548.7056,1190.8695,504.627,1165.0743,528.9438,1392.1929,499.209,1106.8443,552.5993,1376.5641,553.6318,1114.5492,546.0165,1517.3053,511.4617,1182.4591,508.4638,1645.0452,582.123,1340.4292,530.5294,1543.8132,514.7934,1715.131,547.5821,1560.7383,504.9452,1576.3226,501.5875,1689.3054,570.0009,874.5927,578.2275,1053.7854,544.4334,1291.3897,516.359,1539.0581,522.5552,1211.5771,556.2099,1531.3169,568.2077,1238.5434,524.0566,1395.4258,532.0026,1158.1709,561.8321,1263.1753,531.834,1353.5262,563.7124,1392.6605,516.5821,1412.4432,511.7196,942.9213,571.7136,1441.9456,568.5474,1544.0269,555.6787,1457.3786,528.6501,1426.8716,566.4808,1024.6717,570.8956,948.1935,512.3821
1063.1533,637.7802,788.4893,640.3028,571.2898,647.9549,1349.7113,639.6402,1087.4436,662.1863,1464.6456,644.363,1070.7591,658.3511,1018.7783,643.9973,1186.6382,671.2699,1301.8996,628.1037,1046.4679,598.0326,1262.0006,656.0591,1336.1327,615.1007,817.6443,646.3955,1576.1949,661.4236,1096.0219,674.1304,1637.0682,681.1702,979.4947,665.0214,1519.0592,596.717,1271.1387,657.0224,1402.6526,670.0457,1456.5803,599.7175,1092.3413,638.3025,1036.9551,612.5486,972.6125,666.6928,873.9532,666.3611,1528.8868,638.8802,1196.1882,605.8359,1815.7401,585.0456,1383.0964,602.2019,897.3622,606.1738,1217.4532,635.4549,1343.5785,578.1344,1644.4815,619.3806,1203.8336,591.0963,1598.5089,619.273,1018.9343,632.5289,1198.6445,672.1086,1584.8896,591.3679,1344.3545,633.5927,1020.0949,656.7268,1405.2058,644.0781,1147.3857,666.516,918.7248,629.4185,1524.5364,634.0958,1726.7868,614.2468,1539.3154,595.8374,1529.1171,663.2738,1052.7938,673.5501,1670.6527,638.3652,1205.0408,627.1575,1245.0912,622.5779,1664.261,596.3961,1034.8643,641.6102,1192.195,595.8499,1161.8704,621.5782,1395.4596,590.0988,1107.044,644.6586,1378.309,644.1414,1113.086,637.6813,1518.2052,603.3331,1180.7357,601.0207,1644.8488,674.0462,1340.2735,624.7964,1544.4923,606.0827,1712.1468,641.0026,1561.7512,597.2682,1575.4059,594.5151,1690.439,660.9772,869.1092,673.2506,1051.5977,636.6708,1289.4519,604.8692,1539.4671,613.6376,1214.9039,647.4464,1532.3801,658.8944,1239.1451,616.7079,1396.7806,623.9152,1154.4545,654.0404,1259.8709,623.1874,1354.5084,656.2218,1391.4345,609.2179,1415.3955,604.9643,940.5774,664.2349,1442.287,661.2463,1544.6784,646.3899,1459.7653,618.1857,1428.0966,656.2945,1022.8465,663.1416,948.1098,605.1652
1064.0831,728.9097,781.7648,729.7718,565.6662,738.2087,1351.4057,732.1262,1087.5254,754.9447,1465.0987,733.0978,1065.505,749.0228,1014.1758,736.4244,1186.8258,763.8938,1299.4621,719.0559,1045.9002,690.581,1259.0849,749.7318,1334.9681,706.4562,820.4152,737.5097,1578.0184,754.5923,1098.4702,765.5511,1636.8221,774.4534,979.3033,758.5086,1518.2963,688.0678,1272.1495,750.5001,1402.3999,764.4221,1458.6079,692.9799,1093.8678,729.5937,1038.6464,706.3456,970.8218,759.293,873.3564,758.1483,1525.5378,729.4407,1195.7826,697.5558,1817.1989,676.2057,1381.7383,694.7231,897.5679,700.363,1219.145,728.7499,1341.7216,668.039,1646.4282,712.115,1200.4981,683.3608,1602.3379,711.491,1014.1483,719.5238,1198.0295,765.2133,1580.738,680.6129,1341.5321,726.4272,1017.7014,748.6047,1404.7348,736.0987,1144.0206,758.4589,918.54,719.7224,1522.5163,726.4292,1727.0239,706.5594,1540.7126,687.4438,1531.1078,755.0566,1050.7048,766.6388,1668.4251,729.7891,1206.6215,718.2429,1240.8845,713.3138,1663.635,690.0668,1032.119,734.1403,1193.4387,688.4368,1158.8311,713.8114,1399.1098,682.2724,1107.3905,735.2814,1379.817,734.1476,1111.6072,729.3879,1519.0417,695.506,1178.8579,694.3681,1644.2899,767.2409,1339.8989,718.2067,1545.0583,698.1608,1709.142,733.6267,1562.7253,690.1845,1575.6985,688.6214,1691.5038,752.2357,863.5809,767.3078,1049.6799,728.2921,1287.5051,694.2923,1539.9744,704.0802,1218.1331,738.8087,1533.2967,749.3398,1239.8484,710.1285,1397.9377,715.1523,1150.7498,745.0414,1256.789,714.6084,1355.7321,750.0787,1390.177,701.1712,1418.5639,697.2886,938.1839,755.7714,1442.8058,752.9962,1545.3862,738.2954,1462.1477,708.3383,1429.3055,747.4022,1021.0876,755.9915,948.1373,697.3738
1065.1164,819.9041,775.022,820.1693,560.0628,828.0636,1353.0001,824.8216,1087.6342,848.643,1465.4938,823.2059,1060.2452,840.1996,1009.3942,827.9202,1186.949,854.9671,1296.6477,810.8726,1045.0757,782.5498,1256.2463,841.9552,1333.8648,796.4621,823.3256,827.914,1580.1078,847.0639,1100.883,857.8699,1636.6893,867.8781,979.1425,850.7467,1517.5719,780.1109,1272.8463,844.3046,1402.3571,858.4912,1460.7914,786.1276,1095.3059,821.5039,1040.2432,799.8074,969.1025,852.1117,872.6149,850.287,1522.2198,818.8741,1195.4813,789.6099,1818.7968,768.2181,1380.3741,787.2372,897.9216,793.7798,1220.6946,820.9246,1339.6694,758.241,1648.376,805.3067,1196.9343,775.5697,1606.0163,804.3512,1009.1583,805.8394,1197.5174,857.3871,1576.3338,769.0012,1338.6981,818.5097,1015.5069,841.3488,1404.1338,828.7178,1140.6376,849.4365,918.2684,810.3619,1520.4155,818.0368,1727.5492,799.1546,1541.9773,780.2695,1532.853,845.7478,1048.4335,859.1421,1666.129,821.3631,1208.1189,810.0771,1236.7712,804.5355,1663.2476,782.1756,1029.1677,827.4937,1194.5637,779.5422,1155.767,806.3294,1402.6529,773.5579,1107.8803,826.2056,1381.5226,824.3714,1110.164,820.9662,1519.7467,787.6972,1176.9639,786.4823,1643.8645,858.9902,1339.4509,811.7755,1545.8212,789.1951,1706.2006,826.164,1563.3009,782.6804,1572.1437,781.6126,1692.5372,842.8091,858.1411,861.5352,1047.7209,820.2452,1285.4677,782.934,1540.5369,794.0804,1221.4584,829.8705,1534.519,839.3762,1240.5887,802.3922,1399.1743,806.7447,1147.3764,836.4879,1253.9311,805.435,1356.8635,842.8573,1388.7088,793.8555,1421.3384,790.1392,935.9509,848.4569,1443.192,846.039,1546.3021,829.1631,1464.0675,798.1558,1430.3561,837.2976,1019.0937,847.6303,NaN,NaN
1066.0919,911.1505,768.2724,909.5821,554.6523,917.6326,1354.4739,917.1275,1087.7479,941.5213,1465.963,912.0053,1054.9069,930.9862,1004.6646,919.7583,1187.3277,946.8379,1294.0146,901.2593,1044.2245,875.051,1253.6627,934.9287,1332.7228,887.4982,825.8698,918.2373,1582.1616,940.1847,1103.3372,949.0608,1636.5452,961.0833,979.0772,943.7562,1516.9826,871.3126,1273.6163,937.6261,1402.0304,952.1857,1463.0326,878.7915,1096.6497,912.3125,1041.8299,893.4791,967.3323,944.8084,871.8863,941.4059,1518.9615,909.7188,1195.0616,881.8827,1820.0594,858.9778,1379.122,879.6567,897.7398,887.8326,1222.2057,913.6168,1337.7586,848.0605,1650.68,897.6236,1193.6138,867.5914,1609.6398,896.5763,1004.1883,892.9815,1197.1335,950.0874,1571.5394,858.2578,1336.2978,911.2932,1013.1782,932.8198,1403.6696,920.8298,1137.494,940.8132,918.1745,900.9715,1518.1933,910.5655,1727.6277,891.7559,1543.0914,871.9749,1534.7465,937.3699,1046.2324,951.8743,1664.0134,912.5135,1209.6324,901.1037,1232.9276,894.8455,1662.5692,875.2324,1026.3733,919.366,1195.9179,871.4345,1152.6814,898.3752,1406.3199,866.1508,1108.1809,917.062,1383.0483,914.0516,1108.8831,911.9675,1520.6495,879.9722,1175.2865,879.4843,1643.1123,951.4415,1338.8144,904.532,1546.7166,881.0447,1703.2559,918.2608,1563.7948,876.4953,1570.3273,876.261,1693.5845,934.6534,852.9059,955.0845,1045.8931,911.4666,1283.619,872.414,1541.2898,883.5174,1224.4617,920.621,1535.4259,930.1303,1241.2133,895.802,1400.3595,897.6241,1143.8038,926.8982,1250.8028,897.3357,1358.1124,936.0486,1387.2503,885.8786,1424.5311,881.8997,933.6015,939.3886,1443.422,938.1207,1546.963,920.928,1466.2077,888.1532,1431.7399,927.9838,1017.7192,940.1114,NaN,NaN
