FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y
0.0000,15.0000,1190.2112,1480.6336,1277.9883,1323.8701,1440.0775,1154.6365,1661.0585,1044.1509,648.3514,1037.5769,915.4201,1027.6629,2118.1238,961.7124,843.0601,915.3145,1605.4051,904.8046,1891.9025,698.7951,1403.5801,583.4336,1765.2666,508.6250,1168.4255,514.3363,658.7721,138.0206,927.3092,32.7263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,16.0000,1190.1596,1559.0005,1278.0599,1402.2268,1440.0506,1233.1149,1661.2715,1122.6550,649.2543,1115.6539,915.3706,1106.5636,2118.7005,1039.8577,843.2821,994.0736,1605.3963,983.6169,1892.1097,777.3216,1403.8686,662.2008,1765.6636,587.1135,1168.9359,592.8510,658.7959,216.1863,927.6272,110.9878,1224.9417,90.4541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,17.0000,1189.9820,1637.4072,1278.7787,1480.8629,1439.8806,1311.7998,1661.2775,1201.1551,649.9469,1193.7012,915.9374,1185.3394,2118.5049,1118.4153,843.6558,1073.1704,1605.0547,1063.1240,1892.2031,856.0800,1404.3937,741.1551,1765.5830,666.3765,1169.2722,672.3648,658.7502,294.9795,927.5754,190.6837,1225.6950,169.4119,744.7321,104.5072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,16.0000,1279.1944,1559.6352,1439.9647,1390.7283,1661.1765,1280.1007,650.0963,1271.9086,916.2876,1264.4805,2118.4488,1196.8080,844.1981,1152.5155,1604.9237,1142.4867,1892.5215,934.9155,1404.5676,820.6579,1765.6678,745.2871,1169.0278,752.0764,658.6704,374.0709,927.5956,269.8147,1225.2597,248.3856,745.3476,180.8913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,17.0000,1279.6379,1638.6799,1440.7993,1469.5180,650.1759,1350.4822,1660.9696,1358.6943,916.5126,1343.2789,2118.3849,1275.4967,844.6012,1231.3500,1604.6263,1221.5853,1892.6938,1013.8410,1404.6698,899.8339,1765.9920,824.3641,1168.7939,831.1859,658.6033,453.1081,927.8069,349.2903,1224.7570,326.3012,746.6852,257.1053,240.0835,71.3668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,16.0000,1440.6046,1547.0140,650.2874,1429.0517,1660.9092,1437.0562,917.5264,1421.5888,2118.5215,1353.5404,845.1594,1309.6748,1604.3588,1300.0383,1893.1041,1091.8110,1405.1666,978.1336,1766.5132,903.1655,1168.6529,909.7550,658.8781,531.3766,928.3736,428.0385,1223.9776,404.1548,748.6628,333.1973,239.6707,149.1096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,17.0000,1440.9953,1624.5262,650.8142,1507.6477,1660.8022,1515.0268,917.6778,1499.1506,2118.4043,1431.8642,845.7045,1388.1529,1604.4388,1378.1649,1893.0261,1170.5866,1405.2692,1056.9278,1767.0653,981.8966,1168.6530,988.4465,658.9316,610.6382,928.9892,507.0545,1223.3721,481.9944,749.6542,409.0119,239.6013,227.6134,1199.6699,67.9361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,17.0000,651.7650,1586.4914,1661.1323,1593.3472,917.4670,1578.0595,2118.4780,1510.2842,845.8247,1466.7082,1604.7738,1456.8279,1893.2746,1249.1828,1405.6943,1136.3369,1767.8956,1060.7902,1168.8928,1068.1219,659.2994,690.0871,929.3390,586.4767,1223.1215,560.1859,751.3239,485.1701,239.8622,306.2226,1200.1658,146.2679,1714.6724,77.5120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,18.0000,652.9092,1664.7396,917.7171,1655.9561,2117.5503,1587.6685,846.0495,1545.4266,1605.2334,1534.7186,1893.3365,1327.4131,1405.8714,1214.9737,1768.7494,1139.6403,1169.1204,1146.9978,659.6495,768.8867,929.6658,665.3315,1223.1242,639.0148,752.9368,560.9456,239.7102,384.8061,1200.5055,224.7170,1715.0432,155.9301,1987.8614,67.2703,1118.8960,55.2528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,16.0000,2115.5989,1662.6526,846.0697,1623.9111,1605.5216,1612.6924,1893.1952,1405.7213,1406.4776,1294.2009,1769.2215,1218.7118,1169.6024,1226.3697,659.8966,847.5759,930.0308,744.4952,1223.6119,718.0423,754.0031,637.2922,239.8735,463.0839,1200.8440,303.2162,1715.4790,234.2143,1988.0996,144.6262,1118.7651,134.2185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,13.0000,1893.1694,1482.9201,1406.5765,1371.7218,1769.5315,1297.5323,1170.3629,1304.1899,660.0846,925.9409,930.6266,823.0141,1224.3117,797.0553,754.7938,713.3309,240.1394,541.0139,1201.4478,381.5068,1715.9306,312.1324,1988.3384,221.6120,1118.7168,212.3408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,13.0000,1892.8019,1561.5702,1406.7217,1450.0376,1769.7006,1377.5282,1171.1552,1382.2524,660.4454,1005.3430,930.8330,902.5589,1224.9477,877.7549,755.8895,791.0340,240.4959,620.6124,1201.4689,460.6430,1716.7065,391.2558,1988.1546,299.9326,1118.3614,291.6921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
