FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y
0.0000,4.0000,1360.9028,1067.4625,217.6985,838.3541,712.0703,435.8499,1439.2128,348.7824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,4.0000,1361.2567,1147.3663,218.2016,918.1483,712.5151,515.3972,1439.4536,428.2902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,4.0000,1361.4683,1227.7807,218.4585,998.1360,713.4427,595.4116,1439.9386,508.7432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,4.0000,1361.5334,1307.9647,218.7339,1077.8465,714.7525,675.5165,1440.2403,588.3388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,4.0000,1361.3791,1388.4142,219.2765,1156.3808,715.8561,754.0967,1440.8982,667.3301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,4.0000,1361.1462,1468.4917,219.7884,1234.5796,716.8566,833.1971,1441.0797,746.2719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,5.0000,1360.4986,1547.9044,220.3758,1313.0334,718.0334,911.9623,1441.1074,825.2355,1255.8803,71.3490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,5.0000,1359.7886,1626.9331,220.6631,1391.3993,719.0763,989.8287,1441.9285,904.3568,1256.6906,149.5316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,4.0000,221.4620,1468.9259,719.5720,1067.9976,1442.0481,982.4308,1257.2087,226.9837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,4.0000,221.9393,1546.5379,720.2299,1146.1133,1442.5727,1060.9652,1256.9673,305.5145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,5.0000,223.4174,1622.9963,720.7265,1224.0286,1442.6856,1138.7897,1257.3224,383.5734,712.1705,116.3806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,720.9772,1302.4097,1442.9048,1217.2575,1257.9726,462.2344,712.0554,194.7733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,4.0000,721.0500,1379.9862,1443.4918,1295.0114,1258.1067,539.7029,711.9690,272.1012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,4.0000,720.9807,1458.2995,1443.8942,1373.2517,1258.3275,618.8798,712.1994,350.6790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,4.0000,721.0441,1536.1818,1444.0334,1451.1770,1258.6576,698.0009,712.7931,428.9008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,4.0000,721.0893,1614.4468,1444.0172,1529.5670,1258.6998,776.8133,712.9875,507.9634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,3.0000,1444.0147,1607.1547,1259.1135,855.1444,712.9567,586.0952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,2.0000,1259.4014,934.0185,713.0778,665.0588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,2.0000,1259.6570,1011.3072,712.9817,742.1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,2.0000,1259.9266,1089.9026,713.6249,821.1669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,2.0000,1260.0069,1168.0111,714.3274,898.4010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,2.0000,1260.5372,1246.1087,714.8448,975.7947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,2.0000,1260.7905,1323.2655,715.0295,1052.7802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,2.0000,1261.0156,1401.3772,715.5511,1130.7644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,3.0000,1261.2604,1478.0175,715.7422,1208.5883,1318.4678,103.8327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,3.0000,1261.1932,1554.8733,716.2846,1287.0679,1318.9261,181.6152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,3.0000,1261.5995,1631.1833,717.1060,1365.4471,1319.4219,259.5889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,2.0000,717.3116,1444.0745,1319.6556,337.9596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,2.0000,718.1865,1522.7490,1320.0721,416.6584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,2.0000,718.9165,1601.2523,1320.2525,495.5227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.0000,1.0000,1320.8848,574.1849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.0000,1.0000,1321.2937,653.5774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.0000,1.0000,1321.4567,732.5685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.0000,1.0000,1322.0012,811.2990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.0000,1.0000,1322.3954,890.5975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.0000,1.0000,1322.4553,969.1268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,1.0000,1322.9355,1047.1879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
