FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y
0.0000,1.0000,998.6224,830.8885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,1.0000,998.8192,908.9879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,1.0000,999.1569,986.8891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,1.0000,999.5535,1065.5001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,1.0000,1000.0472,1143.4005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,1.0000,1000.3337,1221.2712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,1.0000,1000.4994,1299.8105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,1.0000,1000.8681,1377.5285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,1.0000,1000.5063,1455.9563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,1.0000,1001.1413,1534.5676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,2.0000,1001.1947,1612.7621,813.6393,81.2994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,1.0000,813.9140,159.0463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,1.0000,814.1280,238.6178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,1.0000,814.2151,317.3046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,2.0000,813.8430,396.2127,1739.5906,104.1313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,2.0000,813.8918,474.2815,1740.4685,181.6197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,2.0000,814.3016,553.4816,1740.6087,260.2331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,2.0000,814.8632,630.8646,1741.2069,337.5278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,2.0000,815.7767,709.2466,1741.7351,415.6768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,3.0000,816.1466,787.1760,1742.0119,493.3328,1229.1418,74.2506,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,3.0000,815.9708,866.0592,1742.5762,571.3247,1230.1196,152.5483,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,3.0000,816.1623,944.2587,1742.8624,649.1252,1231.1480,230.5138,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,3.0000,816.0318,1022.9521,1743.1470,727.4497,1232.1755,308.7464,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,3.0000,816.2562,1100.9999,1743.4422,805.4057,1232.3061,387.0002,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,3.0000,817.0406,1180.3054,1743.8925,885.0308,1231.8420,466.5278,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,4.0000,817.9206,1258.4632,1744.4003,963.3752,1231.6489,544.5329,1184.9660,118.2167,NaN,NaN,NaN,NaN
26.0000,4.0000,818.1946,1337.0801,1743.8620,1041.8760,1231.3868,622.4132,1185.7473,194.3671,NaN,NaN,NaN,NaN
27.0000,4.0000,818.5275,1415.5211,1743.7499,1120.4655,1230.8645,700.9775,1186.7313,271.4223,NaN,NaN,NaN,NaN
28.0000,4.0000,819.1892,1494.6163,1743.7989,1199.0196,1230.5657,779.6431,1187.7914,350.4776,NaN,NaN,NaN,NaN
29.0000,4.0000,819.9669,1572.6821,1744.3401,1276.7630,1230.5379,857.6567,1189.2908,429.9352,NaN,NaN,NaN,NaN
30.0000,5.0000,820.4361,1651.0539,1743.6858,1355.0826,1230.5061,936.2731,1190.8389,510.1590,1694.9882,77.4942,NaN,NaN
31.0000,4.0000,1743.8900,1432.6627,1230.8767,1014.2711,1192.9002,591.2570,1695.8526,154.9887,NaN,NaN,NaN,NaN
32.0000,4.0000,1743.1848,1510.5596,1231.2946,1092.7372,1194.2612,671.9246,1696.4712,232.6819,NaN,NaN,NaN,NaN
33.0000,4.0000,1743.1917,1588.0890,1231.6031,1171.4370,1195.5466,752.4714,1696.7197,310.3017,NaN,NaN,NaN,NaN
34.0000,4.0000,1743.2375,1665.2829,1232.4967,1249.6347,1196.5303,833.0737,1697.3357,388.1362,NaN,NaN,NaN,NaN
35.0000,3.0000,1233.1814,1328.2811,1196.8999,913.5891,1697.8415,466.3354,NaN,NaN,NaN,NaN,NaN,NaN
36.0000,3.0000,1233.8874,1406.6381,1196.3907,993.7679,1698.5950,544.5779,NaN,NaN,NaN,NaN,NaN,NaN
37.0000,3.0000,1234.7347,1485.6008,1196.3087,1073.9294,1698.4386,622.2027,NaN,NaN,NaN,NaN,NaN,NaN
38.0000,3.0000,1235.6819,1562.8556,1195.8950,1153.8856,1698.7324,700.3935,NaN,NaN,NaN,NaN,NaN,NaN
39.0000,3.0000,1236.5629,1640.6602,1195.5445,1234.5471,1699.1542,779.1680,NaN,NaN,NaN,NaN,NaN,NaN
40.0000,2.0000,1195.5270,1313.5942,1699.2242,857.0658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.0000,2.0000,1196.0249,1392.1010,1699.5726,936.0482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42.0000,2.0000,1197.0005,1470.3072,1699.9894,1014.1479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43.0000,2.0000,1198.0134,1548.2501,1700.0383,1092.5089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44.0000,2.0000,1200.0255,1623.7704,1700.4463,1170.3775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45.0000,1.0000,1700.2593,1248.9354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46.0000,1.0000,1700.3309,1326.6325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47.0000,1.0000,1700.4337,1404.3439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,1.0000,1700.5259,1480.7974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,1.0000,1700.0960,1558.1229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,2.0000,1699.9729,1634.0201,1810.7823,35.7167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,1.0000,1811.1236,113.4035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,1.0000,1811.4839,191.3201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,1.0000,1812.4319,269.5567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,1.0000,1812.7618,347.4311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,2.0000,1813.2428,426.0708,469.4470,72.2817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,2.0000,1813.9311,504.1763,469.8122,150.0671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,2.0000,1814.1545,582.9220,469.4944,228.5410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,2.0000,1814.3874,661.3502,469.4535,306.9669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,2.0000,1814.8667,739.6598,469.6355,384.7046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,2.0000,1815.3063,817.5053,469.9055,462.5704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,2.0000,1815.3362,894.9607,470.0085,540.2635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,2.0000,1815.5996,973.2617,470.4271,618.5264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,2.0000,1815.6410,1051.2082,470.5167,696.6420,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,3.0000,1815.8134,1129.3498,470.4371,774.7521,1282.7128,28.4801,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,3.0000,1815.8035,1206.8256,471.1630,852.6420,1282.4795,105.0143,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,3.0000,1815.7546,1284.9387,471.3094,930.9319,1282.1902,182.2456,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,3.0000,1815.6333,1362.1015,471.8333,1008.8083,1281.4265,259.3703,NaN,NaN,NaN,NaN,NaN,NaN
68.0000,4.0000,1815.1007,1440.0440,472.0375,1087.3002,1281.2057,337.0462,1072.2584,42.3596,NaN,NaN,NaN,NaN
69.0000,4.0000,1814.8784,1516.9343,472.4482,1164.7225,1281.2631,414.5683,1072.5981,119.9656,NaN,NaN,NaN,NaN
70.0000,4.0000,1814.3093,1594.1057,472.8524,1242.2772,1281.2284,493.0124,1072.6994,197.2235,NaN,NaN,NaN,NaN
71.0000,4.0000,1813.0895,1669.9498,473.7599,1319.2274,1281.7465,571.2490,1072.9699,274.3774,NaN,NaN,NaN,NaN
72.0000,3.0000,473.9943,1396.8040,1281.7603,649.8153,1073.3900,352.3059,NaN,NaN,NaN,NaN,NaN,NaN
