FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y
0.0000,6.0000,828.7148,1511.1927,1066.6640,874.0947,1751.4753,837.5011,949.5465,676.6126,722.9190,367.3168,1450.2646,376.1352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,6.0000,829.3820,1589.3682,1067.1960,953.5902,1751.9621,915.7857,949.0380,753.5081,723.5163,445.5925,1450.7589,454.1528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,6.0000,830.0148,1666.0682,1067.4587,1032.0250,1752.3328,993.4160,948.6582,829.5076,723.5659,523.1448,1451.0045,531.6827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,5.0000,1067.2962,1111.5329,1752.6162,1072.5806,947.8571,906.4805,723.6400,602.1191,1451.3995,610.4087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,6.0000,1066.8650,1189.2014,1752.3875,1150.6319,947.6509,982.4361,723.9727,680.3157,1451.7814,688.9318,1752.4487,50.6406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,6.0000,1066.3260,1267.3825,1752.1614,1229.8122,947.2984,1059.0471,724.3215,759.8222,1452.2425,768.2792,1752.9881,129.1384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,6.0000,1065.1472,1344.9762,1752.2512,1308.6435,947.0373,1134.9627,724.4180,838.4787,1452.6979,847.1937,1753.7622,206.6189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,7.0000,1063.6900,1422.5919,1752.3245,1387.6626,946.7496,1211.7931,724.9829,918.6326,1453.1534,927.1614,1753.9702,285.6592,1717.4042,46.9633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,7.0000,1061.6080,1499.6494,1752.1402,1464.0318,946.5692,1287.3795,725.4817,997.9634,1453.2189,1005.4746,1754.5221,363.4361,1716.5481,124.3441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,8.0000,1059.2496,1576.4176,1752.1501,1541.0460,946.4185,1363.9220,725.4893,1077.2261,1453.4007,1083.9030,1754.7137,441.9288,1715.7503,202.4695,277.2911,43.6256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,8.0000,1057.4392,1652.9740,1751.9946,1617.5967,946.5976,1440.0779,725.5045,1155.5368,1453.4918,1161.9163,1755.1804,519.8400,1714.7847,279.4288,277.0704,121.3124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,6.0000,947.1027,1516.7866,724.8409,1233.8277,1453.3825,1239.9893,1755.4950,598.0255,1713.9734,357.4581,277.0945,199.6524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,7.0000,946.3488,1592.7845,724.9080,1311.5605,1453.8683,1317.4295,1755.7634,675.6365,1713.0900,434.5191,277.3049,276.6889,986.5194,75.0307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,7.0000,946.3518,1669.0080,725.3766,1389.3803,1454.3280,1394.4035,1756.2049,753.0173,1712.3146,512.3049,277.2131,353.6568,986.6792,152.2327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,7.0000,725.7007,1466.9988,1454.2177,1471.7085,1756.3366,830.6632,1711.1766,590.0405,276.9597,431.1332,986.6493,229.5213,516.1984,112.3336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,7.0000,726.1979,1544.7828,1454.4038,1548.7840,1756.5006,909.1614,1710.2112,668.5911,276.8013,508.8807,986.8556,307.5866,516.3728,190.6891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
