FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y
0.0000,6.0000,826.0241,1258.2271,1018.7672,896.7023,1572.7704,289.4755,656.4029,186.0091,905.1888,186.2244,1574.9595,80.5631,NaN,NaN,NaN,NaN
1.0000,6.0000,825.8738,1337.8037,1019.1775,975.3322,1573.3493,367.6918,656.4919,263.9927,905.7757,264.1865,1575.5849,158.2721,NaN,NaN,NaN,NaN
2.0000,6.0000,825.7119,1417.6790,1019.3504,1053.9674,1573.4376,445.9714,656.4057,342.2614,906.1373,343.4022,1576.0416,236.7914,NaN,NaN,NaN,NaN
3.0000,6.0000,824.9508,1496.2450,1019.5854,1132.4881,1574.1617,524.9359,656.3962,421.1224,906.1974,422.0832,1576.2850,315.2519,NaN,NaN,NaN,NaN
4.0000,6.0000,822.5883,1574.8562,1019.6596,1211.1469,1574.6138,603.8567,656.5672,499.9057,906.3023,501.0259,1576.7398,394.1185,NaN,NaN,NaN,NaN
5.0000,6.0000,820.3454,1652.9824,1020.0348,1289.0512,1574.9412,681.4933,656.0980,577.9868,906.7188,578.9090,1577.4337,472.0651,NaN,NaN,NaN,NaN
6.0000,5.0000,1020.1726,1368.0441,1575.5441,760.6557,656.2449,657.5422,906.7442,658.2890,1577.6818,551.2566,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,6.0000,1020.6709,1446.2288,1575.8754,839.4773,656.6717,736.4417,906.8446,736.9182,1577.9565,629.8378,1467.8438,81.0491,NaN,NaN,NaN,NaN
8.0000,6.0000,1021.9142,1525.1929,1576.2665,918.6470,656.6669,815.3599,906.6753,816.1087,1578.6056,708.9350,1468.1782,159.3686,NaN,NaN,NaN,NaN
9.0000,6.0000,1022.7518,1602.6604,1576.4620,996.7383,656.9155,893.7184,906.4443,894.4690,1578.9232,787.2232,1468.5492,237.7562,NaN,NaN,NaN,NaN
10.0000,5.0000,1577.1112,1075.5878,657.4023,972.5199,905.9631,973.2956,1578.9493,866.0739,1468.8508,316.0631,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,5.0000,1577.5162,1153.3861,657.9249,1050.2284,905.5736,1050.8206,1579.2999,943.9984,1469.5318,393.3425,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,5.0000,1577.7156,1231.8500,658.5180,1128.4772,904.6393,1128.8447,1579.4859,1022.9356,1469.9623,471.7891,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,5.0000,1577.9638,1309.7110,659.0663,1206.2047,903.8553,1206.0592,1579.8527,1100.6618,1470.3485,550.0812,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,5.0000,1578.7687,1388.4391,659.6125,1284.5024,903.1615,1284.0409,1579.9506,1179.1241,1470.7787,628.7004,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,5.0000,1579.9574,1466.0344,660.0477,1362.4146,902.5292,1361.9451,1580.1282,1256.8296,1471.1050,707.1032,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,5.0000,1580.8368,1544.4571,660.1262,1441.0120,902.6149,1440.4107,1580.1511,1335.8160,1471.4677,786.7632,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,5.0000,1581.0459,1622.0717,660.7400,1518.8688,903.1392,1517.6644,1580.0263,1414.0725,1471.5303,865.2844,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,4.0000,661.1334,1597.1112,903.7022,1595.2382,1580.3419,1492.8279,1471.5512,944.1633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,2.0000,1580.8232,1570.9034,1471.5629,1023.4039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,2.0000,1580.4250,1650.1908,1471.9109,1102.3544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,1.0000,1471.6618,1180.7137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,1.0000,1471.9599,1259.3491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,2.0000,1472.2136,1337.7793,192.9257,104.2150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,2.0000,1472.1895,1415.6354,192.7071,181.5738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,2.0000,1471.4009,1492.7490,192.7771,259.1824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
