FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
0.0000,4.0000,781.9661,1449.9069,892.2655,1059.6193,1433.7072,994.3929,384.9348,378.9905,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,5.0000,782.0749,1528.1033,894.3046,1136.7194,1434.0266,1072.7758,384.6844,457.4208,1706.4017,87.7569,NaN,NaN,NaN,NaN
2.0000,6.0000,782.4805,1606.4449,895.7222,1214.3323,1434.1983,1152.1068,385.2103,536.0413,1707.1310,166.5955,2058.0825,121.3357,NaN,NaN
3.0000,5.0000,897.2727,1291.7432,1434.7426,1231.1508,385.3949,615.0083,1707.7695,245.4345,2058.6771,199.5893,NaN,NaN,NaN,NaN
4.0000,5.0000,898.3152,1369.4472,1435.8675,1310.3829,385.5765,693.8501,1708.9612,324.0378,2059.3560,278.3786,NaN,NaN,NaN,NaN
5.0000,5.0000,899.3714,1446.9610,1437.3305,1389.0750,385.6283,772.1996,1709.9802,402.0234,2059.6372,355.8127,NaN,NaN,NaN,NaN
6.0000,5.0000,899.6098,1524.2181,1438.8982,1468.7493,385.8245,851.2853,1710.5124,481.1131,2060.1282,434.2890,NaN,NaN,NaN,NaN
7.0000,5.0000,899.9533,1601.8319,1440.7025,1547.6477,386.1844,930.4856,1711.2999,560.2087,2060.5136,513.0378,NaN,NaN,NaN,NaN
8.0000,4.0000,1442.4051,1627.4462,386.6107,1009.7794,1711.6602,639.6234,2060.8461,592.6465,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,3.0000,387.2594,1088.6282,1711.6371,718.5624,2061.2893,671.3025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,3.0000,387.8243,1168.3961,1711.7297,798.7344,2061.6220,751.3688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,4.0000,388.2268,1248.1635,1711.7186,878.3206,2061.9923,830.7229,1164.7604,38.9300,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,5.0000,388.8595,1327.8965,1711.6968,958.6134,2062.2025,911.2980,1165.0934,118.6371,1887.8396,114.4361,NaN,NaN,NaN,NaN
13.0000,5.0000,389.7530,1406.9126,1712.0935,1037.8517,2062.4816,990.2703,1165.0743,197.6134,1888.7039,193.1289,NaN,NaN,NaN,NaN
14.0000,5.0000,390.4753,1486.8849,1712.1237,1117.7381,2062.5353,1070.1833,1165.6957,277.3441,1889.3222,272.8071,NaN,NaN,NaN,NaN
15.0000,5.0000,391.4130,1565.6536,1712.4971,1197.0597,2062.5527,1148.9865,1165.9572,356.8756,1890.0682,351.4848,NaN,NaN,NaN,NaN
16.0000,5.0000,392.4721,1644.4452,1712.9385,1276.4942,2062.6536,1228.5006,1166.1299,436.3101,1890.5416,431.0292,NaN,NaN,NaN,NaN
17.0000,4.0000,1713.3488,1355.3519,2062.8835,1307.4000,1166.6067,515.5436,1891.2859,509.9298,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,4.0000,1713.2941,1434.5557,2062.9634,1386.3118,1166.6796,595.2923,1891.6699,589.2068,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,4.0000,1713.0472,1512.6078,2062.9849,1464.5163,1167.4003,673.9140,1891.9259,667.4249,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,4.0000,1712.4820,1591.4005,2062.7341,1542.8838,1167.2493,753.1128,1892.0560,746.3296,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,3.0000,2062.5038,1620.3952,1167.6889,832.1372,1892.5396,825.1515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.0000,3.0000,1168.1949,912.2260,1892.9334,904.8161,686.8340,42.4593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.0000,3.0000,1168.3928,990.9004,1893.0037,983.6533,686.8052,121.7480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.0000,3.0000,1168.8444,1070.5476,1893.0249,1062.7379,687.1676,201.1799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.0000,4.0000,1168.7657,1150.7851,1893.0604,1142.4824,686.9252,280.7595,2037.4113,113.6338,NaN,NaN,NaN,NaN,NaN,NaN
26.0000,4.0000,1169.0704,1229.7545,1893.1498,1221.3778,686.6487,359.9820,2038.2681,192.6873,NaN,NaN,NaN,NaN,NaN,NaN
27.0000,4.0000,1169.5386,1308.9040,1892.9833,1299.2018,686.6334,439.2310,2038.9716,270.9240,NaN,NaN,NaN,NaN,NaN,NaN
28.0000,4.0000,1169.9469,1388.0036,1893.0666,1377.2448,687.0208,517.8654,2039.7173,349.3680,NaN,NaN,NaN,NaN,NaN,NaN
29.0000,4.0000,1170.3176,1466.6601,1893.0116,1455.4260,687.1583,596.8477,2040.1129,427.9645,NaN,NaN,NaN,NaN,NaN,NaN
