FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y
0.0000,13.0000,1811.4455,1615.4406,1303.7115,1578.0736,1656.1967,1296.7981,2037.3111,1206.0623,1776.2999,1091.5863,1358.2743,906.8363,425.3522,810.5749,963.0373,587.8703,768.6755,318.8170,1927.0590,173.1291,1438.7908,189.2733,515.5978,171.5750,1322.8721,126.7235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,11.0000,1656.6910,1375.7684,2037.7883,1285.5347,1779.5197,1169.7332,1358.3953,986.5731,425.5825,889.9270,959.9093,666.9388,769.3210,398.4835,1927.9397,252.0793,1436.6888,267.3181,514.6242,251.6074,1324.2602,206.4191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,12.0000,1657.1612,1453.4928,2038.3457,1364.1723,1782.7662,1246.9157,1358.4911,1065.6157,426.1211,968.8552,957.2030,744.7710,769.6234,477.9127,1928.5544,330.2812,1434.7284,345.1695,514.2263,330.8636,1325.3254,285.7838,1360.0323,75.4776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,14.0000,1657.0947,1531.8048,2037.9919,1441.9449,1785.7640,1324.6186,1358.3900,1145.8563,426.8238,1048.8873,954.5223,824.4896,770.0890,558.3807,1929.3264,409.5533,1432.6103,424.0629,514.0354,411.0731,1326.8098,366.6454,1360.5249,155.6865,1228.1982,118.2728,116.1672,74.9939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,15.0000,1657.0376,1607.7021,2037.9311,1518.9772,1788.8823,1401.8690,1358.8119,1224.3482,427.3794,1127.7615,951.8562,902.3356,770.5165,637.6098,1929.9459,487.9538,1431.2763,501.5966,514.3427,489.8335,1328.5462,446.2227,1360.5168,233.2883,1230.5505,197.8237,114.8946,155.2941,563.6748,111.5406,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,14.0000,2037.8592,1597.3605,1792.1636,1480.0702,1359.1090,1304.4890,427.6879,1207.4731,948.6649,981.9647,771.0332,718.2830,1930.3587,567.9442,1430.1831,580.7089,514.3347,569.6872,1330.3460,526.8372,1360.7233,313.5052,1233.1243,279.3486,113.8141,233.0253,559.5705,191.8075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,14.0000,2038.8483,1673.8927,1794.8216,1556.2428,1359.7123,1382.7144,428.4447,1285.0626,945.4189,1059.1842,771.8198,797.3731,1930.9235,646.3133,1429.4162,658.5563,514.7942,648.1027,1332.2416,606.2085,1360.8324,391.7664,1235.7313,359.1084,113.4575,310.6398,555.2077,269.7903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,15.0000,1797.5544,1631.8915,1360.1800,1461.7161,429.2348,1363.1303,942.4511,1137.4064,772.6602,876.8537,1931.2933,725.6631,1429.3093,736.8001,515.0806,726.5972,1334.4581,686.6606,1360.8686,470.9068,1238.3846,439.8436,113.4089,388.9423,550.9176,348.2193,1986.6577,118.2692,981.3939,110.3969,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,14.0000,1360.7509,1538.3619,430.6304,1439.0724,939.9124,1214.5858,773.4470,955.8354,1931.7422,803.8002,1429.3846,815.3051,516.3060,804.7524,1336.3081,765.9876,1360.9826,549.1808,1240.6304,520.0516,113.4072,466.9542,547.2579,426.2006,1986.5053,195.7420,979.8294,188.4666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,14.0000,1360.9144,1617.2976,432.3098,1516.5568,937.4980,1292.8083,774.3412,1036.0583,1931.7975,882.7637,1430.5153,894.7681,517.2262,883.7988,1337.8552,846.2973,1361.3484,628.4959,1243.3912,601.4171,113.6179,546.4293,543.7431,505.5149,1986.8239,275.2289,978.5824,267.5424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
