FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y
0.0000,8.0000,1062.0783,1557.3852,765.3251,1556.7288,1117.6267,1500.9004,617.1524,1205.2620,508.4723,848.4633,1553.1946,655.6355,1066.3797,332.5686,902.1562,147.1918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,7.0000,764.6780,1635.0650,1090.4229,1606.5039,618.4213,1282.9362,508.8311,926.8314,1553.8719,733.6052,1063.7751,411.9870,902.1996,224.8130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,7.0000,1117.7637,1656.9029,618.9644,1361.8071,509.1152,1006.5849,1553.7285,813.4916,1061.2125,492.8335,902.1769,304.1858,562.5063,138.9192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,6.0000,619.8953,1439.1905,509.8112,1085.1057,1553.6327,892.1190,1059.0188,573.5931,902.4884,382.4155,557.9021,219.3994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,6.0000,621.4020,1517.8814,510.9351,1165.2225,1553.3705,972.0179,1056.7447,654.4975,902.3493,462.4796,553.9050,301.6232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,6.0000,623.5637,1595.2796,511.8152,1243.3417,1553.2271,1050.5590,1054.7592,734.4863,902.6027,541.5390,550.0953,382.8128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,6.0000,513.1503,1322.7787,1552.4747,1130.0775,1053.2525,815.8751,902.3154,621.8698,546.1241,465.2516,183.1823,92.6119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,7.0000,514.7808,1402.7315,1551.5858,1209.3507,1051.5350,896.9703,902.4597,701.7266,542.6101,547.6977,181.9999,172.7651,1080.8816,98.6117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,7.0000,516.7283,1481.6600,1550.8373,1288.7701,1050.2098,978.0776,902.8152,781.8313,539.1307,629.8606,180.8806,251.6114,1081.3809,178.4079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,7.0000,519.2872,1560.3823,1549.5822,1368.4753,1049.3049,1060.0756,903.3585,862.1920,535.4393,712.0391,180.2384,331.6226,1081.9171,258.2920,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
