FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
0.0000,10.0000,1536.2565,1450.5393,476.1631,1327.7854,263.4375,1020.9951,454.7141,989.1893,641.0324,811.9048,1997.9387,783.1896,1624.0872,648.6203,1689.5108,509.2819,1524.2646,188.5534,817.3929,78.2041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,10.0000,1536.6031,1528.2567,473.0211,1408.2392,263.5582,1099.0254,455.1101,1068.3912,639.5337,888.7705,1998.1875,861.7949,1622.6611,726.7247,1688.5962,585.4405,1525.4679,267.7514,817.2378,156.9523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,10.0000,1536.4156,1607.1076,469.6855,1489.2019,264.1116,1178.5127,455.7253,1148.8087,638.3146,966.7786,1998.2474,941.6669,1620.9315,806.3843,1687.8995,662.5801,1526.3011,348.4602,816.8725,237.3369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,10.0000,467.3858,1568.0054,265.1473,1256.7734,456.2065,1227.9664,637.0513,1044.1638,1998.0094,1021.1827,1618.9638,884.8806,1687.2095,739.0277,1526.6499,428.1855,816.6060,316.5260,522.6124,129.7856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,9.0000,265.8683,1335.9436,456.7047,1308.3027,635.6798,1123.0476,1997.3714,1101.2272,1617.2969,964.8212,1686.5370,817.1833,1527.6816,508.5171,816.1936,396.7784,518.2586,212.4224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,9.0000,267.4231,1413.2300,457.5935,1387.4574,635.2503,1200.5241,1997.1075,1180.5964,1615.8000,1043.3435,1686.1994,894.1893,1527.9259,588.3317,815.9939,476.4336,513.6410,293.6077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,9.0000,268.8999,1491.5480,459.6737,1466.8470,634.3169,1279.2641,1996.7536,1261.2336,1613.9764,1123.6108,1685.3248,972.5440,1528.4169,668.9643,815.4474,557.5118,509.5972,376.6407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,10.0000,270.5218,1569.0288,460.2122,1543.5765,633.5555,1357.0614,1996.7120,1341.0635,1612.5337,1202.3349,1684.3141,1049.9396,1528.7095,748.6357,814.5351,637.0776,505.3738,458.3276,685.2932,71.5009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,10.0000,271.8074,1646.2169,459.5406,1622.4200,633.7842,1435.5856,1996.5775,1421.4914,1611.2187,1282.0924,1683.8298,1127.9820,1528.9104,829.2691,814.1896,718.3734,501.4370,540.8848,684.1607,152.6293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,9.0000,633.0184,1513.1447,1996.4611,1500.5542,1610.3115,1359.9492,1683.3978,1204.7092,1529.5570,908.2121,813.8295,797.5437,497.8196,622.7473,682.9997,232.3895,2070.4220,86.6270,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,9.0000,632.8561,1590.2742,1990.3345,1570.3738,1609.0673,1438.9746,1682.4567,1282.5817,1530.3414,987.8319,813.5655,876.8748,493.6542,704.8282,681.5622,312.8613,2066.6770,167.7046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,8.0000,1608.1605,1516.8383,1682.3645,1359.6711,1530.2995,1066.7019,813.4743,955.2533,489.5490,785.5716,679.8054,392.9673,2061.9727,247.8027,728.9205,59.9432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,8.0000,1607.4956,1594.9195,1682.4364,1438.3710,1530.8847,1145.9960,813.9341,1034.2736,485.1074,866.5072,678.3241,473.6641,2057.6733,329.7449,728.1192,140.1039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,7.0000,1682.8357,1516.1803,1531.2683,1224.1472,814.3407,1112.2760,480.8913,946.6434,676.4249,553.3693,2053.1083,410.5174,726.5772,218.7101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,7.0000,1682.7314,1594.5803,1531.1339,1302.6897,814.9439,1190.2327,477.3124,1027.7728,675.0515,633.8618,2048.3603,491.8845,725.0725,298.2380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,6.0000,1531.0745,1380.9214,816.0851,1268.5562,472.7441,1108.3559,673.7136,714.4117,2043.0823,573.4136,724.0276,377.8999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,7.0000,1531.0002,1458.5983,817.4210,1346.7239,469.0679,1189.4319,672.2255,795.1679,2037.7116,655.5000,723.2502,457.1041,1265.9821,105.5011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,7.0000,1529.7122,1536.3227,818.9863,1424.9197,465.4205,1270.4295,670.7101,875.3344,2032.0985,737.8359,722.8640,536.3602,1262.0855,185.0502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,7.0000,1528.6381,1614.3333,820.6738,1504.6064,462.2662,1352.1874,669.8506,956.9019,2027.0994,821.1719,723.4235,616.3957,1258.3687,265.6923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
