FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y
0.0000,13.0000,148.3474,1393.4404,409.4676,1393.8369,771.0183,1308.5027,742.8041,1141.8352,1461.1833,954.6847,342.3592,914.2337,1933.2535,945.4578,1455.2590,881.1593,144.1246,789.0032,607.5189,621.5940,1824.3341,534.2665,1376.8964,496.8853,826.4484,164.0087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,13.0000,148.8448,1462.4363,411.4762,1471.2562,771.4559,1386.7512,743.7125,1219.7802,1461.4729,1033.4379,342.5604,993.3294,1933.3678,1023.6022,1455.9467,959.8104,144.6131,866.6524,607.8822,700.1982,1825.0275,612.5232,1376.8945,574.4852,826.1753,242.4373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,13.0000,148.5943,1533.2902,412.8252,1549.0891,771.9571,1464.7818,744.3405,1299.0845,1461.6811,1112.3490,342.7751,1072.5019,1932.9121,1102.7210,1456.2351,1039.1668,144.7924,944.4464,608.3119,779.0994,1824.9477,691.8728,1377.4451,652.8861,825.6787,321.7042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,13.0000,414.2532,1625.5448,147.8493,1603.2126,772.3774,1543.0287,744.4683,1376.9954,1461.8650,1191.3174,343.7379,1151.4336,1932.0524,1181.1983,1456.1073,1118.4619,144.9437,1022.3213,607.8707,857.7662,1825.6460,771.1673,1377.6211,731.1460,825.3880,400.8491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,11.0000,152.5752,1672.7879,772.7010,1622.5779,744.6322,1455.3039,344.4312,1229.9327,1930.9309,1259.9739,1459.3056,1233.2397,144.9833,1100.6170,608.1699,936.8996,1825.3571,851.1538,1377.9913,809.5562,825.0177,480.0569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,10.0000,744.5950,1532.0700,344.8414,1307.3945,1929.5555,1338.0467,1459.8493,1311.9188,145.4051,1177.6841,608.5432,1014.6061,1825.8721,930.5322,1377.8818,887.5340,825.0306,559.0680,173.1229,111.8558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,10.0000,745.5726,1608.5944,346.4896,1385.2782,1927.8762,1417.3760,1460.1494,1390.2273,144.8402,1256.4729,608.7161,1094.3446,1825.2710,1011.4592,1378.4263,966.8463,824.4889,639.3307,172.9105,191.0556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,9.0000,347.4997,1461.5782,1927.2306,1496.7177,1459.5390,1468.7395,144.9498,1333.8204,609.5338,1172.9231,1825.6435,1091.6728,1379.0264,1045.2983,824.8130,719.7197,172.5150,269.3761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,11.0000,348.8328,1538.9508,1925.8791,1575.6156,1459.2163,1548.0751,144.4805,1411.8643,609.6362,1252.6841,1825.4878,1172.4505,1378.8393,1124.7409,824.8459,800.6416,173.2926,348.8315,526.9692,158.8119,1490.8345,101.1750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,11.0000,1914.2978,1635.5698,349.6596,1615.0032,147.1031,1486.7244,610.0868,1331.8921,1824.8996,1252.3815,1378.3284,1203.3897,824.6124,880.3857,173.6017,427.1579,526.7516,238.1376,1491.7309,180.3968,1267.1146,94.6499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
