FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y
0.0000,14.0000,1417.7746,1555.7126,1715.0945,1486.5141,959.0709,1478.2612,890.7806,1425.5237,1991.1066,1416.0261,910.8052,1184.0492,2003.3331,1160.6275,982.7357,1043.5215,412.1461,774.6248,1094.4178,526.5361,782.7247,456.1005,600.8804,359.5259,790.5064,202.4037,2093.4766,187.9684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,14.0000,1421.6203,1634.1222,1712.1548,1562.4329,959.8338,1556.9524,1992.4303,1494.4735,891.2099,1503.7911,912.1494,1263.8520,1999.6363,1236.8449,983.1201,1122.1121,411.9154,852.9342,1093.5507,604.1491,782.4007,536.3041,600.7634,437.9842,790.3978,280.4146,2092.6318,268.6999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,14.0000,1709.2704,1637.9898,960.2048,1635.3311,1991.2622,1572.1359,890.9037,1583.0329,913.8830,1343.0637,1995.6977,1313.9440,983.6577,1201.0374,411.6291,931.4752,1092.9533,681.9346,782.4799,617.0967,600.8007,516.6481,790.0681,358.3070,2091.0628,349.7112,231.0257,108.9226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,11.0000,915.4791,1423.3666,1991.5805,1391.9203,983.8810,1280.1033,411.4216,1010.4710,1092.7782,759.6941,782.8291,697.9736,601.4301,595.1208,789.4844,436.3259,2090.5137,431.4033,229.1768,188.5604,1984.7361,85.6523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,11.0000,918.0165,1501.9466,1987.6194,1468.5783,983.7441,1358.6445,411.6820,1088.3047,1092.2807,836.4202,782.7651,778.0566,601.5431,672.8921,789.3260,513.7133,2089.6168,512.1024,227.1252,267.2307,1985.2250,165.2061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,11.0000,919.7442,1581.7722,1981.9744,1543.4346,984.6384,1438.3889,411.3614,1167.6294,1091.5834,914.3137,782.9399,858.5322,602.1366,751.2140,789.0140,591.8595,2088.7648,594.2021,225.4381,347.4398,1985.7861,245.7300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,10.0000,1975.1672,1619.4119,984.9107,1517.5416,411.5970,1246.1549,1091.5638,991.4635,783.3177,937.9183,602.1899,828.5359,788.8440,669.1307,2086.8566,674.5906,223.7337,426.9678,1986.2457,325.6681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,11.0000,985.1421,1597.4104,411.1288,1326.0454,1091.0770,1070.2980,783.8647,1017.8089,603.5294,907.3816,2087.0149,757.7071,788.5898,747.9593,221.9967,508.1423,1987.1728,406.7230,1941.7475,122.6130,1254.7026,113.8152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,11.0000,411.2763,1404.6520,1090.5078,1148.1282,783.9757,1096.1740,604.0617,984.5122,2085.3188,837.7837,788.6491,825.3891,220.2664,587.8285,1987.5825,486.8259,1938.9437,200.5620,1256.8841,193.8434,964.7758,88.8352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,11.0000,411.3828,1483.7046,1090.2162,1226.6384,784.9018,1174.9628,604.6145,1062.4519,2084.8515,920.3349,788.6580,904.1260,218.6182,668.9061,1988.2919,568.3937,1935.8034,278.9683,1259.2768,274.7328,966.0967,169.9543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
