FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
0.0000,10.0000,1614.2354,1628.9706,1379.4732,1584.4120,1411.8239,1318.3462,1256.4141,1039.6350,1765.2992,1003.4298,664.1613,925.0191,680.0448,838.5601,1193.4041,398.2827,1700.8883,247.8675,1358.7548,201.7416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0000,9.0000,1402.0981,1628.2010,1412.8277,1397.7714,1256.0426,1119.3058,1766.9403,1077.5591,663.9645,1000.9843,679.8425,914.9251,1193.8945,476.2092,1701.4195,325.5552,1361.9139,280.2878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.0000,8.0000,1414.4850,1477.7688,1255.7048,1200.1009,1767.8987,1152.8427,664.4190,1077.4953,680.2371,992.5129,1194.5384,555.8170,1701.4196,404.7470,1364.9453,358.8227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.0000,9.0000,1416.2256,1556.5193,1255.2997,1279.5116,1768.4459,1226.8797,664.0781,1153.1887,680.5199,1069.1891,1194.7596,634.2125,1701.8407,482.5180,1367.9459,436.0404,1112.3526,92.3136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4.0000,9.0000,1418.3041,1634.8257,1254.7217,1359.7695,1769.0523,1302.4414,664.4040,1230.5165,681.2743,1147.1477,1195.1183,714.4766,1702.1495,561.8953,1371.2571,515.4872,1112.6441,173.8831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.0000,8.0000,1254.3001,1438.8728,1770.1519,1376.7304,664.4396,1306.6674,681.3929,1224.0578,1195.2994,793.3093,1701.8535,640.0782,1374.3924,593.6174,1111.9139,253.6816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.0000,8.0000,1254.0525,1519.1348,1771.0097,1451.7428,665.3557,1384.3297,681.7115,1301.4812,1195.5819,873.7434,1701.9427,719.2703,1377.9063,673.0998,1112.2486,334.3573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0000,9.0000,1252.9617,1598.2770,1771.7721,1525.9825,665.8315,1460.8338,682.6463,1377.5536,1195.6342,952.6212,1702.0653,797.2479,1380.9090,751.2869,1112.4330,413.8667,1675.9990,111.7477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0000,9.0000,1771.9512,1599.2797,666.1858,1538.3533,682.8769,1454.8003,1195.6296,1032.5780,1701.7232,876.4045,1383.6986,830.5991,1112.0897,494.0147,1671.4856,188.1519,431.1598,53.8072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0000,8.0000,666.3429,1613.9813,682.9314,1530.7516,1195.7664,1112.8070,1701.4443,954.9134,1386.1977,910.5603,1112.5707,573.9444,1666.2388,264.0651,431.6824,134.9479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.0000,7.0000,683.8313,1607.4523,1196.0218,1192.4744,1701.3567,1033.0577,1388.8624,989.7069,1112.4738,653.8565,1661.5205,340.3728,432.0274,216.0472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.0000,7.0000,1195.8276,1270.6215,1700.7930,1110.3221,1391.3655,1068.2610,1113.0525,732.4712,1657.2743,415.5551,432.6787,296.4406,929.2841,59.9560,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.0000,8.0000,1195.4491,1349.3688,1700.6121,1188.0892,1393.8876,1146.2339,1113.0859,811.7935,1653.2920,491.8041,433.1842,377.7831,930.7674,142.0926,1549.4914,81.9307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.0000,8.0000,1196.0298,1428.9182,1700.2190,1266.3630,1396.4226,1225.8524,1113.7630,890.9840,1649.0499,568.5462,434.1056,459.3450,932.5359,223.8375,1551.1262,161.1911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.0000,8.0000,1196.3349,1508.0194,1700.0572,1344.2505,1398.8782,1303.6324,1113.6708,969.1541,1644.7541,644.7024,435.2583,540.0996,934.0580,305.6799,1552.5097,240.1242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.0000,8.0000,1196.3757,1586.2259,1699.8059,1421.9512,1401.3585,1381.8519,1114.4242,1047.6616,1641.0288,721.0521,435.8690,621.4265,936.0247,387.3330,1553.7384,319.2208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.0000,7.0000,1699.7397,1499.8095,1404.0858,1459.4054,1114.8357,1125.9784,1637.3934,797.1801,437.1068,702.6039,937.4449,468.8396,1555.2036,397.3658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.0000,7.0000,1699.3922,1577.4341,1406.5959,1536.7578,1114.6955,1204.4005,1633.9949,874.3306,437.6556,784.9119,939.5067,551.3109,1555.8650,477.1365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.0000,7.0000,1699.3170,1653.3157,1410.1572,1614.9052,1115.5705,1281.9680,1630.6986,950.5201,438.3517,866.4379,940.9207,633.7395,1556.2124,556.2549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.0000,5.0000,1116.2941,1359.9078,1627.0172,1027.9719,439.4061,948.0139,943.0189,715.8511,1556.7937,635.4659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.0000,8.0000,1116.8302,1436.2344,1623.1657,1104.5106,440.0768,1028.8474,944.4757,797.4952,1556.9040,713.7852,1002.9155,117.6970,705.5420,97.7490,1863.0589,85.2176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.0000,8.0000,1118.4809,1513.4216,1618.8821,1181.5644,441.1783,1110.7754,945.9834,879.7586,1556.4835,793.8027,1001.7610,195.2038,704.4618,177.6411,1862.1035,166.0992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
